W00-1401 "Evaluation Metrics for Generation"
W14-4311 "Alex: Bootstrapping a Spoken Dialogue System for a New Domain by Real Users"
W14-4312 "InproTKs: A Toolkit for Incremental Situated Processing"
W14-4313 "Back to the Blocks World: Learning New Actions through Situated Human-Robot Dialogue"
W14-4314 "An easy method to make dialogue systems incremental"
W14-4315 "Free on-line speech recogniser based on Kaldi ASR toolkit producing word posterior lattices"
W14-4316 "Combining Task and Dialogue Streams in Unsupervised Dialogue Act Models"
W14-4317 "Dialogue Act Modeling for Non-Visual Web Access"
W14-4318 "Extractive Summarization and Dialogue Act Modeling on Email Threads: An Integrated Probabilistic Approach"
W14-4320 "Addressing Class Imbalance for Improved Recognition of Implicit Discourse Relations"
W14-4321 "The Role of Polarity in Inferring Acceptance and Rejection in Dialogue"
W14-4322 "In-depth Exploitation of Noun and Verb Semantics to Identify Causation in Verb-Noun Pairs"
W14-4323 "Identifying Narrative Clause Types in Personal Stories"
W14-4324 "Evaluating a Spoken Dialogue System that Detects and Adapts to User Affective States"
W14-4325 "Initiative Taking in Negotiation"
W14-4326 "Knowledge Acquisition Strategies for Goal-Oriented Dialog Systems"
W14-4327 "Reducing Sparsity Improves the Recognition of Implicit Discourse Relations"
W14-4328 "Interaction Quality Estimation in Spoken Dialogue Systems Using Hybrid-HMMs"
W14-4329 "Learning to Re-rank for Interactive Problem Resolution and Query Refinement"
W14-4330 "Aspectual Properties of Conversational Activities"
W14-4331 "Detecting Inappropriate Clarification Requests in Spoken Dialogue Systems"
W14-4332 "Using Ellipsis Detection and Word Similarity for Transformation of Spoken Language into Grammatically Valid Sentences"
W14-4333 "SAWDUST: a Semi-Automated Wizard Dialogue Utterance Selection Tool for domain-independent large-domain dialogue"
W14-4334 "A Demonstration of Dialogue Processing in SimSensei Kiosk"
W14-4335 "MVA: The Multimodal Virtual Assistant"
W14-4336 "The PARLANCE mobile application for interactive search in English and Mandarin"
W14-4337 "The Second Dialog State Tracking Challenge"
W14-4338 "Optimizing Generative Dialog State Tracker via Cascading Gradient Descent"
W14-4339 "Web-style ranking and SLU combination for dialog state tracking"
W14-4340 "Word-Based Dialog State Tracking with Recurrent Neural Networks"
W14-4341 "Comparative Error Analysis of Dialog State Tracking"
W14-4342 "Extrinsic Evaluation of Dialog State Tracking and Predictive Metrics for Dialog Policy Optimization"
W14-4343 "The SJTU System for Dialog State Tracking Challenge 2"
W14-4344 "Markovian Discriminative Modeling for Dialog State Tracking"
W14-4401 "A Case Study: NLG meeting Weather Industry Demand for Quality and Quantity of Textual Weather Forecasts"
W14-4402 "PatientNarr: Towards generating patient-centric summaries of hospital stays"
W14-4403 "Using Conceptual Spaces to Model Domain Knowledge in Data-to-Text Systems"
W14-4404 "Text simplification using synchronous dependency grammars: Generalising automatically harvested rules"
W14-4405 "A language-independent method for the extraction of RDF verbalization templates"
W14-4406 "An ACG Analysis of the G-TAG Generation Process"
W14-4407 "A Template-based Abstractive Meeting Summarization: Leveraging Summary and Source Text Relationships"
W14-4408 "A Hybrid Approach to Multi-document Summarization of Opinions in Reviews"
W14-4409 "Adapting Graph Summaries to the Users\u2019 Reading Levels"
W14-4410 "Experimental Design to Improve Topic Analysis Based Summarization"
W14-4411 "Towards a Description of Symbolic Maps"
W14-4412 "Adapting SimpleNLG for Brazilian Portuguese realisation"
W14-4413 "Generating Summaries of Line Graphs"
W14-4414 "Two-Stage Stochastic Email Synthesizer"
W14-4415 "A Framework for Health Behavior Change using Companionable Robots"
W14-4416 "Classifiers for data-driven deep sentence generation"
W14-4417 "Determining Content for Unknown Users: Lessons from the MinkApp Case Study"
W14-4418 "FlowGraph2Text: Automatic Sentence Skeleton Compilation for Procedural Text Generation"
W14-4419 "Generating Annotated Graphs using the NLG Pipeline Architecture"
W14-4420 "Generating Valence Shifted Turkish Sentences"
W14-4421 "Latent User Models for Online River Information Tailoring"
W14-4422 "Multi-adaptive Natural Language Generation using Principal Component Regression"
W14-4423 "TBI-Doc: Generating Patient & Clinician Reports from Brain Imaging Data"
W14-4424 "Towards Surface Realization with CCGs Induced from Dependencies"
W14-4701 "The CogALex-IV Shared Task on the Lexical Access Problem"
W14-4702 "A Two-Stage Approach for Computing Associative Responses to a Set of Stimulus Words"
W14-4703 "Deep Learning from Web-Scale Corpora for Better Dictionary Interfaces"
W14-4704 "Exploring the use of word embeddings and random walks on Wikipedia for the CogAlex shared task"
W14-4705 "ETS Lexical Associations System for the COGALEX-4 Shared Task"
W14-4706 "Using Significant Word Co-occurences for the Lexical Access Problem"
W14-4707 "NaDiR: Naive Distributional Response Generation"
W14-4708 "Retrieving Word Associations with a Simple Neighborhood Algorithm in a Graph-based Resource"
W14-4709 "Predicting sense convergence with distributional semantics: an application to the CogaLex 2014 shared task"
W14-4710 "WordFinder"
W14-4711 "(Digital) Goodies from the ERC Wishing Well: BabelNet, Babelfy, Video Games with a Purpose and the Wikipedia Bitaxonomy"
W14-4712 "Measuring Similarity from Word Pair Matrices with Syntagmatic and Paradigmatic Associations"
W14-4713 "Jibiki-LINKS: a tool between traditional dictionaries and lexical networks for modelling lexical resources"
W14-4714 "When Frequency Data Meet Dispersion Data in the Extraction of Multi-word Units from a Corpus: A Study of Trigrams in Chinese"
W14-4715 "Exploring Mental Lexicon in an Efficient and Economic Way: Crowdsourcing Method for Linguistic Experiments"
W14-4716 "A Computational Approach to Generate a Sensorial Lexicon"
W14-4717 "Database Design of an Online E-Learning Tool of Chinese Classifiers"
W14-4718 "Default Physical Measurements in SUMO"
W14-4719 "Lexical Access Preference and Constraint Strategies for Improving Multiword Expression Association within Semantic MT Evaluation"
W14-4720 "A Lexical Network with a Morphological Model in It"
W14-4721 "Dimensions of Metaphorical Meaning"
W14-4722 "Constructing an Ontology of Japanese Lexical Properties: Specifying its Property Structures and Lexical Entries"
W14-4723 "Frames and terminology: representing predicative terms in the field of the environment"
W14-4724 "Modelling the Semantics of Adjectives in the Ontology-Lexicon Interface"
W14-4725 "Discovering Conceptual Metaphors using Source Domain Spaces"
W14-4901 "STTS 2.0? Improving the Tagset for the Part-of-Speech-Tagging of German Spoken Data"
W14-4902 "Use of Coreference in Automatic Searching for Multiword Discourse Markers in the Prague Dependency Treebank"
W14-4903 "POS error detection in automatically annotated corpora"
W14-4904 "Aligning Chinese-English Parallel Parse Trees: Is it Feasible?"
W14-4905 "Sentence diagrams: their evaluation and combination"
W14-4906 "Finding your \u201cInner-Annotator\u201d: An Experiment in Annotator Independence for Rating Discourse Coherence Quality in Essays"
W14-4907 "Optimizing annotation efforts to build reliable annotated corpora for training statistical models"
W14-4908 "A Web-based Geo-resolution Annotation and Evaluation Tool"
W14-4909 "Annotating Uncertainty in Hungarian Webtext"
W14-4910 "A Corpus Study for Identifying Evidence on Microblogs"
W14-4911 "Semi-Semantic Part of Speech Annotation and Evaluation"
W14-4912 "Multiple views as aid to linguistic annotation error analysis"
W14-4913 "Annotating a Large Representative Corpus of Clinical Notes for Parts of Speech"
W14-4914 "Part-of-speech Tagset and Corpus Development for Igbo, an African Language"
W14-4915 "Annotating descriptively incomplete language phenomena"
W14-4916 "Annotating Discourse Connectives in Spoken Turkish"
W14-4917 "Exploiting the Human Computational Effort Dedicated to Message Reply Formatting for Training Discursive Email Segmenters"
W14-4918 "Annotating Multiparty Discourse: Challenges for Agreement Metrics"
W14-4919 "Towards Automatic Annotation of Clinical Decision-Making Style"
W14-4920 "Interactive Annotation for Event Modality in Modern Standard and Egyptian Arabic Tweets"
W14-4921 "Situation Entity Annotation"
W90-0101 "Using Tree Adjoining Grammars Systemic Framework in the"
W90-0102 "Generation and Synchronous Tree-Adjoining Grammars"
W90-0103 "A Connectionist Treatment of Grammar for Generation: Relying on Emergents"
W90-0104 "A New Model for Lexical Choice for Open-Class Words"
W90-0105 "A collocational based approach to salience-sensitive lexical selection"
W90-0106 "Natural Discourse Hypothesis Engine"
W90-0107 "Using Bidirectional Semantic Rules for Generation"
W90-0108 "Upper Modeling: organizing knowledge for natural language processing"
W90-0109 "Abstract Linguistic Resources for Text Planning"
W90-0110 "Using Discourse Focus, Temporal Focus, and Spatial Focus to Generate Multisentential Text"
W90-0111 "Selection: Salience, Relevance and the Coupling between Domain-Level Tasks and Text Planning"
W90-0112 "Domain Communication Knowledge"
W90-0113 "An Object Oriented Approach to Content Planning for Text Generation"
W90-0114 "The Role of Underlying Structure in Text Generation"
W90-0115 "The Basic Block Model of Extended Explanations"
W90-0116 "The Local Organization of Text"
W90-0117 "Parsimonious and Profligate Approaches to the Question of Discourse Structure Relations"
W90-0118 "Reassessing Rhetorical Abstractions and Planning Mechanisms"
W90-0119 "Resolving Plan Ambiguity for Response Generation"
W90-0120 "Speaker Attitudes in Text Planning"
W90-0121 "Generating Peripheral Rhetorical Devices by Consulting a User Model"
W90-0122 "The Computer Generation of Speech with Discoursally and Semantically Motivated Intonation"
W90-0123 "Relational-Grammar-Based Generation in the JETS Japanese-English Machine Translation System"
W90-0124 "Real-Time Generation from Systemic Grammars"
W94-0301 "Discovery and Format of Input Structures for Tactical Generation"
W94-0302 "DPOCL: A Principled Approach To Discourse Planning"
W94-0303 "Building Underlying Structures for Multiparagraph Texts"
W94-0304 "Sequencing as a Planning Task"
W94-0305 "Discourse Planning as an Optimization Process"
W94-0306 "Intentions, Structure and Expression in Multi-Lingual Instructions"
W94-0307 "Content and Rhetorical Status Selection in Instructional Texts"
W94-0308 "Expressing Procedural Relationships in Multilingual Instructions"
W94-0309 "On Moving On On Ontologies"
W94-0310 "On the Creative Use of Language: The Form of Lexical Resources"
W94-0311 "Semantic Lexicons: The Cornerstone for Lexical Choice in Natural Language Generation"
W94-0312 "Generating Event Descriptions with Sage: A Simulation and Generation Environment"
W94-0313 "Towards an Account of Causation in a Multilingual Text Generation System"
W94-0314 "Generating Context Appropriate Word Orders in Turkish"
W94-0315 "Using a Textual Representation Level Component in the Context of Discourse and Dialogue Generation"
W94-0316 "Building Another Bridge over the Generation Gap"
W94-0317 "Planning Reference CHoices for Argumentative Texts"
W94-0318 "Towards the Application of Text Generation in an Integrated Publication System"
W94-0319 "Has a Consensus NL Generation Architecture Appeared, and is it Psycholinguistically Plausible?"
W94-0320 "The Role of Cognitive Modeling in Communicative Intentions"
W94-0321 "Recognizing Digressive Questions Using a Model for Interactive Generation for Interactive Generation"
W94-0322 "Generating Indirect Answers to Yes-No Questions"
W94-0323 "Real-Time Natural Language Generation in NL-SOAR"
W94-0324 "Generating Cooperative System Responses in Information Retrieval Dialogues"
W94-0325 "Situation Viewpoints for Generation"
W94-0326 "Content Selection and Organization as a Process Involving Compromises"
W94-0327 "Bidirectional Incremental Generation and Analysis with Categorial Grammar and Indexed Quasi-Logical Form"
W94-0328 "Toward a Multidimensional Framework to Guide the Automated Generation of Text Types"
W94-0329 "CORECT: Combining CSCW with Natural Language Generation for Collaborative Requirement Capture"
W94-0330 "Semanitic Syntax at Work"
W94-0331 "Generation in the LOLITA System: An Engineering Approach"
W94-0332 "Representing Conceptual and Linguistic Knowledge for Multi-Lingual Generation in a Technical Domain"
W96-0401 "The HealthDoc Sentence Planner"
W96-0402 "Learning Micro-Planning Rules for Preventive Expressions"
W96-0403 "Paraphrasing and Aggregating Argumentative Texts Using Text Structure"
W96-0404 "Approximate Generation from Non-Hierarchical Representations"
W96-0405 "Input Specification in the WAG Sentence Generation System"
W96-0406 "PostGraphe: A System for the Generation of Statistical Graphics and Text"
W96-0407 "Generating Patent Claims from Interactive Input"
W96-0408 "Considering the Effects of Second Language Learning on Generation"
W96-0409 "Tactical Generation in a Free Constituent Order Language"
W96-0410 "Paying Heed to Collocations"
W96-0411 "Best-First Surface Realization"
W96-0412 "An Evaluation of Anaphor Generation in Chinese"
